https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,,"CHEYENNE WSFO AP, WY",,,,,,,,
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp.ann
1991,25,36.21,36.35,41.02,52.4,62.52,67.69,67.65,57.95,46.06,31.65,31.56,46.34
1992,30.47,36.66,38.61,48.58,54.95,60.8,64.63,63.82,59.97,49.18,30.88,25.48,47
1993,26.11,24.88,37.16,42.05,53.42,58.68,66.1,64.82,54.23,44.1,29.15,30.63,44.28
1994,29.4,27.16,38.6,43.3,56.84,66.32,68,69.32,61.72,46.92,34.6,33.26,47.95
1995,30.71,32.59,36.81,39.5,45.71,58.98,67.81,71.6,57.05,45.74,38.37,30.02,46.24
1996,23.06,30.24,31.58,42.68,51.61,63.53,68.26,66.31,56.63,45.76,34.65,30.03,45.36
1997,24.68,26.7,38.27,35.82,51.74,62.62,68.27,65,59.18,46.11,31.35,28.29,44.84
1998,30.6,30.55,32.71,41.17,53.34,56.77,70.34,68.69,63.93,45.79,39.5,26.61,46.67
1999,30.76,34.59,37.61,38.4,50.48,60.27,69.95,67.63,54,47.53,43.93,31.98,47.26
2000,29.82,34.72,37.02,45.42,55.5,62.47,72.16,70.48,58.18,46.24,25.85,25.29,46.93
2001,27.56,26.84,35.06,44.3,52.58,64.22,72.19,69.47,61.52,47.19,38.88,29.19,47.42
2002,27.45,29.14,29.48,44.38,51.24,67.72,73.55,66.56,59.08,39.15,34.4,32.35,46.21
2003,34.94,24.88,37.65,45.75,53.47,58.28,75.08,70.68,56.38,51.34,33.43,30.03,47.66
2004,30.42,28.78,42.1,44.27,55.52,60.47,67.27,65.11,58.72,47.98,34.8,31.82,47.27
2005,31.89,32.68,36.13,43.1,52.13,61.65,71.84,66.44,62.08,48.19,39.18,27.61,47.74
2006,34.58,26.7,32.68,47,54.55,67.97,71.73,67.94,54.13,44.9,36.73,29.35,47.35
2007,21.69,29.73,41.76,42.2,53.26,64.23,72.15,70.6,59.08,48.94,37.65,22.98,47.02
2008,23.44,29.98,34.16,40.55,50.37,61.2,72.23,66.19,56.32,46.82,39.22,24.48,45.41
2009,30.29,33.16,36.68,40.58,53.26,59.55,65.95,65.5,58.65,36.98,37.92,20.69,44.93
2010,29.65,24.29,35.9,41.7,48.47,62.18,68.48,69,61.5,50.03,33.68,30.53,46.28
2011,27.73,23.86,37.97,42,47.11,61.73,71.23,70.81,58.72,46.98,34.92,25.98,45.75
2012,32.55,25.41,44.6,48.45,54.77,67.88,72.34,69.34,60.77,44.42,40.13,27.29,49
2013,27.63,26.05,34.65,35.68,52.44,66.55,69.73,70,61.48,42.92,36.58,26.16,45.82
2014,28.42,22.59,36.6,43.6,51.92,60.98,68.74,66.69,60.27,50.89,33.17,29.18,46.09
2015,31.98,31.7,41.87,43.87,48.24,65.65,67.47,67.89,64.65,52.34,34.23,27.55,48.12
2016,29.58,35.62,37.56,43.15,49.97,67.32,71.44,66.6,60.55,52.81,42.05,26.35,48.58
2017,26.74,34.75,43.19,44.2,50.77,64.33,71.79,66.61,59.55,46.05,41.7,29.81,48.29
2018,31.98,26.18,37.53,43.13,56.05,65.98,69.55,66.27,62.32,44.37,33.95,29.19,47.21
2019,30.87,26,31.31,44.22,47.11,60.4,70.23,70.47,63.98,39.95,33.93,31.34,45.82
2020,31.4,26.4,37.9,40.25,54.08,66.12,71.44,72.27,59.78,44.47,40.05,30.65,47.9
