https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,"CHEYENNE WSFO AP, WY",,,,,,,,,
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,precip.ann
1991,0.36,0.12,0.43,1.15,3.84,4.56,3.39,1.49,1.87,0.44,0.87,0.13,18.65
1992,1.18,0.11,1.75,0.34,1.86,2.11,1.87,1.9,0.01,0.46,1.69,0.49,13.77
1993,0.35,0.81,0.63,2.49,1.92,3.32,0.64,2.21,3.16,1.85,1.23,0.3,18.91
1994,0.66,0.88,0.55,1.45,2.05,1.44,2.13,1.49,0.38,1.55,0.34,0.57,13.49
1995,0.12,1.02,0.19,1.49,6,4.58,1.08,0.89,3.39,0.78,0.37,0.18,20.09
1996,0.5,0.07,1.5,1.51,2.24,1.79,3.1,1.79,2.34,0.5,0.45,0.01,15.8
1997,0.39,0.31,0.44,1.68,2.47,3.48,2.8,4.33,2.06,1.09,0.2,0.59,19.84
1998,0.07,0.29,0.69,1.09,2.35,1.63,1.21,0.96,0.49,1.27,0.31,0.46,10.82
1999,0.35,0.13,0.46,5.02,2.04,2.13,2.38,0.78,2.11,0.27,0.25,0.19,16.11
2000,0.35,0.59,1.48,0.58,1.38,0.46,2.64,1.87,2.64,0.69,0.3,0.75,13.73
2001,0.41,0.33,0.56,2.49,2.24,1.45,3.31,0.74,1.18,0.4,0.23,0.13,13.47
2002,0.17,0.64,0.85,0.68,0.75,0.68,0.48,2.21,1.73,1.1,0.46,0.11,9.86
2003,0.09,0.47,2.23,2.7,1.41,2.69,0.44,0.82,1.24,0.23,0.46,0.76,13.54
2004,0.07,0.45,0.15,1.24,1.04,3.37,1.73,0.92,3.06,0.64,1.55,0.13,14.35
2005,0.41,0.34,0.88,1.65,1.29,4.33,2.59,1.61,0.28,1.87,0.3,0.28,15.83
2006,0.05,0.52,1.7,0.82,1.61,0.25,2.98,0.98,1.02,0.58,0.07,1.55,12.13
2007,0.32,0.34,1.4,1.49,1.4,0.36,3.97,1.62,1.23,1.28,0.32,1.01,14.74
2008,0.02,0.17,0.74,0.54,2.5,1.91,0.43,6.55,1.12,0.57,0.4,0.31,15.26
2009,0.71,0.33,0.72,3.6,2.08,4.26,1.83,0.37,1.14,2.52,0.49,0.69,18.74
2010,0.07,0.69,1.21,3.8,3.06,2.42,2.11,0.34,0.01,0.82,0.73,0.35,15.61
2011,0.17,0.82,0.78,1.73,3.12,2.02,5.63,1.56,0.45,1.72,0.82,0.49,19.31
2012,0.13,0.9,0,0.39,0.3,2.69,2.58,0.14,1.3,1.13,0.02,0.57,10.15
2013,0.24,0.64,0.63,2.97,1.01,0.15,1.6,1.19,6.95,2.14,0.16,0.5,18.18
2014,1.01,1.15,0.9,0.91,2.99,1.98,3.24,1.48,1.74,0.51,1.19,0.67,17.77
2015,0.06,0.7,0.11,2.72,5.99,1.53,1.85,0.65,0.14,1.83,1.11,0.85,17.54
2016,0.48,0.72,2.33,3.06,2.03,2.08,1.08,1.05,0.8,0.27,0.38,0.43,14.71
2017,0.77,0.67,0.73,2.57,3.89,0.67,0.53,2.11,1.08,1.13,0.44,0.57,15.16
2018,0.57,0.34,0.94,0.94,4.1,1.55,2.43,2.71,0.09,0.69,0.94,0.28,15.58
2019,0.32,0.33,2.38,1.54,5.19,2.74,1.37,0.45,0.51,0.77,1.84,0.59,18.03
2020,0.13,0.66,1.22,0.89,1.06,2.09,1.67,0.2,0.6,0.85,0.18,0.48,10.03
